Designator	Part	Midx	Midy	Refx	Refy	Padx	Pady	TB	Rotation
Lr03c09	PLCC-6	2.764	1.398	2.764	1.398	2.697	1.437	Top	0.0
Lr04c13	PLCC-6	3.787	1.614	3.787	1.614	3.720	1.654	Top	0.0
RRRSET	0603	3.972	2.069	3.972	2.069	3.972	2.098	Top	0.0
RRMSET	0603	2.559	2.069	2.559	2.069	2.559	2.098	Top	0.0
Lr05c00	PLCC-6	0.480	1.831	0.480	1.831	0.413	1.870	Top	0.0
RBLSET	0603	1.606	2.069	1.606	2.069	1.606	2.098	Top	0.0
CGRCC	0805	3.394	2.589	3.394	2.589	3.356	2.589	Top	90.0
Lr05c01	PLCC-6	0.736	1.831	0.736	1.831	0.669	1.870	Top	0.0
CBYPIN1	0805	0.728	0.069	0.728	0.069	0.728	0.106	Bottom	0.0
Lr03c04	PLCC-6	1.484	1.398	1.484	1.398	1.417	1.437	Top	0.0
Lr04c03	PLCC-6	1.228	1.614	1.228	1.614	1.161	1.654	Top	0.0
CX1	0603	0.226	2.234	0.226	2.234	0.226	2.205	Top	180.0
LGL	Ind	0.555	2.484	0.555	2.484	0.555	2.366	Bottom	180.0
RFB1	0402a	2.424	0.413	2.424	0.413	2.441	0.413	Top	90.0
RNTC	0402a	1.529	0.404	1.529	0.404	1.545	0.404	Top	90.0
CRMCC	0805	2.450	2.586	2.450	2.586	2.413	2.586	Top	90.0
CGLSS	0603	0.356	2.079	0.356	2.079	0.386	2.079	Bottom	-90.0
CBYPIN2	0805	0.819	0.167	0.819	0.167	0.781	0.167	Bottom	90.0
Lr01c01	PLCC-6	0.736	0.965	0.736	0.965	0.669	1.004	Top	0.0
CCX	0603	1.801	0.354	1.801	0.354	1.801	0.325	Top	180.0
RRRISP	0805	3.646	2.559	3.646	2.559	3.646	2.596	Bottom	0.0
RBLFG	0603	1.352	2.069	1.352	2.069	1.352	2.098	Top	0.0
MN1	SO8	0.917	0.311	0.807	0.236	0.807	0.236	Bottom	-90.0
MRL	SO8	0.983	2.138	1.058	2.028	1.058	2.028	Bottom	0.0
RRLRT	0603	0.827	2.069	0.827	2.069	0.827	2.098	Top	0.0
UGR	QFN 5x9	3.346	2.343	3.346	2.343	3.441	2.209	Top	180.0
Lr03c05	PLCC-6	1.740	1.398	1.740	1.398	1.673	1.437	Top	0.0
CGRIN	0805	3.488	2.071	3.488	2.071	3.488	2.033	Bottom	180.0
CRMG	0603	2.427	2.043	2.427	2.043	2.457	2.043	Top	-90.0
RCS9	0402a	3.855	0.413	3.855	0.413	3.872	0.413	Top	90.0
LBL	Ind	1.500	2.484	1.500	2.484	1.500	2.366	Bottom	180.0
RBLRT	0603	1.316	2.064	1.316	2.064	1.346	2.064	Bottom	-90.0
CBULK	Cap2917	1.154	0.551	1.154	0.551	1.154	0.551	Top	0.0
RRMFG	0603	2.299	2.069	2.299	2.069	2.299	2.098	Top	0.0
Lr05c09	PLCC-6	2.764	1.831	2.764	1.831	2.697	1.870	Top	0.0
Lr05c03	PLCC-6	1.228	1.831	1.228	1.831	1.161	1.870	Top	0.0
Lr00c13	PLCC-6	3.787	0.748	3.787	0.748	3.720	0.787	Top	0.0
RRLSET	0603	1.142	2.069	1.142	2.069	1.142	2.098	Top	0.0
RCS8	0402a	3.855	0.472	3.855	0.472	3.872	0.472	Top	90.0
Lr01c03	PLCC-6	1.228	0.965	1.228	0.965	1.161	1.004	Top	0.0
