Designator	Part	Midx	Midy	Refx	Refy	Padx	Pady	TB	Rotation
Lr05c10	PLCC-6	2.764	1.614	2.764	1.614	2.697	1.654	Top	0.0
CGLSS	0603	0.100	1.862	0.100	1.862	0.130	1.862	Bottom	-90.0
Lr05c00	PLCC-6	0.224	1.614	0.224	1.614	0.157	1.654	Top	0.0
RBLSET	0603	1.350	1.852	1.350	1.852	1.350	1.882	Top	0.0
CGRCC	0805	3.099	2.407	3.099	2.407	3.099	2.369	Top	180.0
Lr05c01	PLCC-6	0.480	1.614	0.480	1.614	0.413	1.654	Top	0.0
Lr03c04	PLCC-6	1.228	1.181	1.228	1.181	1.161	1.220	Top	0.0
Lr04c03	PLCC-6	0.972	1.398	0.972	1.398	0.906	1.437	Top	0.0
MRL	SO8	0.727	1.921	0.802	1.811	0.802	1.811	Bottom	0.0
Lr05c02	PLCC-6	0.736	1.614	0.736	1.614	0.669	1.654	Top	0.0
RRRISP	0805	3.390	2.343	3.390	2.343	3.390	2.380	Bottom	0.0
UGL	QFN 5x9	0.256	2.126	0.256	2.126	0.350	1.992	Top	180.0
Lr02c04	PLCC-6	1.228	0.965	1.228	0.965	1.161	1.004	Top	0.0
MBR	SO8	4.034	1.925	4.109	1.815	4.109	1.815	Bottom	0.0
RBLFF	0603	1.146	1.852	1.146	1.852	1.146	1.823	Top	180.0
UBL	QFN 5x9	1.201	2.126	1.201	2.126	1.295	1.992	Top	180.0
CX1	0603	0.522	2.441	0.522	2.441	0.522	2.411	Top	180.0
LGL	Ind	0.299	2.268	0.299	2.268	0.299	2.150	Bottom	180.0
RFB1	0402a	2.168	0.394	2.168	0.394	2.185	0.394	Top	90.0
RNTC	0402a	1.273	0.384	1.273	0.384	1.289	0.384	Top	90.0
CRMCC	0805	2.157	2.402	2.157	2.402	2.157	2.364	Top	180.0
RBLFG	0603	1.091	1.852	1.091	1.852	1.091	1.882	Top	0.0
R86FBG	0402a	0.526	0.190	0.526	0.190	0.526	0.207	Top	-180.0
MN1	SO8	0.661	0.292	0.551	0.217	0.551	0.217	Bottom	-90.0
CSENSE	0402a	0.578	0.236	0.578	0.236	0.561	0.236	Top	-90.0
CBMG	0603	2.636	1.827	2.636	1.827	2.665	1.827	Top	-90.0
