Designator, Part, Midx, Midy, Refx, Refy, Padx, Pady, TB, Rotation
CGRG, 22, 0603, 3.108, 1.827, 3.108, 1.827, 3.138, 1.827, Top, -90.0
CBSW, 23, 0603, 0.423, 0.276, 0.423, 0.276, 0.423, 0.305, Top, 0.0
MGR, 4, SO8, 3.089, 1.925, 3.164, 1.815, 3.164, 1.815, Bottom, 0.0
Lr03c11, 3, PLCC-6, 3.020, 1.181, 3.020, 1.181, 2.953, 1.220, Top, 0.0
CBLCC, 17, 0805, 1.210, 2.402, 1.210, 2.402, 1.210, 2.364, Top, 180.0
CSS1, 23, 0603, 2.265, 0.395, 2.265, 0.395, 2.236, 0.395, Top, 90.0
RGRSET, 29, 0603, 3.299, 1.957, 3.299, 1.957, 3.299, 1.987, Bottom, 0.0
CGMIN, 18, 0805, 1.815, 1.854, 1.815, 1.854, 1.815, 1.817, Bottom, 180.0
RBFB, 34, 0402a, 1.220, 0.302, 1.220, 0.302, 1.220, 0.285, Bottom, 0.0
CGR, 11, Cap2917, 2.917, 2.057, 2.917, 2.057, 2.917, 2.057, Bottom, 90.0
RVMH, 42, 0402a, 1.545, 0.056, 1.545, 0.056, 1.545, 0.039, Top, 0.0
RVML, 39, 0402a, 1.545, 0.121, 1.545, 0.121, 1.545, 0.104, Top, 0.0
RBATIS, 21, 0805, 1.171, 0.219, 1.171, 0.219, 1.171, 0.181, Top, 180.0
ROFB, 34, 0402a, 1.181, 0.200, 1.181, 0.200, 1.181, 0.183, Bottom, 0.0
RFBGO, 39, 0402a, 1.220, 0.233, 1.220, 0.233, 1.220, 0.217, Bottom, 0.0
MGL, 4, SO8, 0.255, 1.925, 0.330, 1.815, 0.330, 1.815, Bottom, 0.0
RFBGB, 39, 0402a, 1.181, 0.269, 1.181, 0.269, 1.181, 0.252, Bottom, 0.0
Lr00c12, 3, PLCC-6, 3.276, 0.531, 3.276, 0.531, 3.209, 0.571, Top, 0.0
RRRRT, 28, 0603, 3.406, 1.852, 3.406, 1.852, 3.406, 1.882, Top, 0.0
Lr05c08, 3, PLCC-6, 2.252, 1.614, 2.252, 1.614, 2.185, 1.654, Top, 0.0
Lr02c05, 3, PLCC-6, 1.484, 0.965, 1.484, 0.965, 1.417, 1.004, Top, 0.0
Lr00c07, 3, PLCC-6, 1.996, 0.531, 1.996, 0.531, 1.929, 0.571, Top, 0.0
Lr03c00, 3, PLCC-6, 0.224, 1.181, 0.224, 1.181, 0.157, 1.220, Top, 0.0
RRMFF, 26, 0603, 2.098, 1.852, 2.098, 1.852, 2.098, 1.823, Top, 180.0
Lr02c14, 3, PLCC-6, 3.787, 0.965, 3.787, 0.965, 3.720, 1.004, Top, 0.0
Lr02c07, 3, PLCC-6, 1.996, 0.965, 1.996, 0.965, 1.929, 1.004, Top, 0.0
Lr00c15, 3, PLCC-6, 4.043, 0.531, 4.043, 0.531, 3.976, 0.571, Top, 0.0
CVCC, 25, 0603, 0.659, 0.394, 0.659, 0.394, 0.630, 0.394, Top, 90.0
RBLISP, 20, 0805, 1.028, 2.346, 1.028, 2.346, 1.028, 2.384, Bottom, 0.0
